x,y,variable_index,value
0,0,0,0.9667360420741116
0,0,1,0.0046288517647476105
0,0,2,0.1014872494112028
1,0,0,0.9760505951875637
1,0,1,0.028350478844940574
1,0,2,0.09441987849433071
2,0,0,0.9896311354064946
2,0,1,0.028648556194686384
2,0,2,0.07655358911767618
3,0,0,0.9938750479330325
3,0,1,0.010848264763158123
3,0,2,0.04654951321647818
4,0,0,0.9817591228037245
4,0,1,0.03173216738445006
4,0,2,0.03403476024886894
5,0,0,0.9965861055911496
5,0,1,0.037316315779365984
5,0,2,0.004028703454949412
6,0,0,0.9660826699971865
6,0,1,0.057866438101043666
6,0,2,0.004638408206250122
7,0,0,0.9809808243353783
7,0,1,0.08689986830734656
7,0,2,0.004518229311639847
8,0,0,0.9884299015044742
8,0,1,0.10141658341049802
8,0,2,0.0044581398643347096
9,0,0,0.9720310985947638
9,0,1,0.0974043252744707
9,0,2,0.029077347955987445
10,0,0,0.9899049586974596
10,0,1,0.1191166726160023
10,0,2,0.025436879623148848
11,0,0,0.9732998552282336
11,0,1,0.12337054000230414
11,0,2,0.0385219856190461
12,0,0,0.9760076442106494
12,0,1,0.1333733918107015
12,0,2,0.040756660266143135
13,0,0,0.9773755044906864
13,0,1,0.13640093696739272
13,0,2,0.030179778619567735
14,0,0,0.9726396459324272
14,0,1,0.16106024110820596
14,0,2,0.018510042576108422
15,0,0,0.9831072742253694
15,0,1,0.17482466147775433
15,0,2,0.03492224802836805
16,0,0,0.9935749025183025
16,0,1,0.1885890818472916
16,0,2,0.0513344534806018
17,0,0,0.9983339469783779
17,0,1,0.19095390162460935
17,0,2,0.06340647189585197
18,0,0,0.992798229346194
18,0,1,0.18846738363082166
18,0,2,0.07615456682904177
19,0,0,0.9903976754281654
19,0,1,0.19268542369153066
19,0,2,0.10560925118750018
20,0,0,0.9795016165726946
20,0,1,0.19197982207283237
20,0,2,0.12191676459027492
21,0,0,0.9740535871449714
21,0,1,0.1916270212634868
21,0,2,0.1300705212916643
22,0,0,0.9752233161835557
22,0,1,0.18129545802811997
22,0,2,0.1185322558597691
23,0,0,0.9775627742607437
23,0,1,0.16063233155738077
23,0,2,0.09545572499597872
24,0,0,0.9907061180963206
24,0,1,0.13899284397185024
24,0,2,0.0830519463007151
25,0,0,0.9901817177255066
25,0,1,0.12278997321264859
25,0,2,0.0997950402163771
26,0,0,0.9934025948169551
26,0,1,0.14762271143349065
26,0,2,0.13384862381181192
27,0,0,0.99340259481696
27,0,1,0.14762271143359082
27,0,2,0.13384862381185214
28,0,0,0.9872780722702889
28,0,1,0.15606252328329748
28,0,2,0.14803760675989647
29,0,0,0.9978316719823128
29,0,1,0.17175469465911258
29,0,2,0.16986068972203028
30,0,0,0.9874912969768359
30,0,1,0.18568834688319688
30,0,2,0.15820517661126818
31,0,0,0.977150921971361
31,0,1,0.19962199910728695
31,0,2,0.1465496635004749
32,0,0,0.9612939187290243
32,0,1,0.19971644019141896
32,0,2,0.15975916241308152
33,0,0,0.9521270929509146
33,0,1,0.19966148773613912
33,0,2,0.1776074639053354
34,0,0,0.9429602671727808
34,0,1,0.19960653528085903
34,0,2,0.1954557653975858
35,0,0,0.9242849571010714
35,0,1,0.19910224760758882
35,0,2,0.18660988467068707
36,0,0,0.9227182306673203
36,0,1,0.19087054476370408
36,0,2,0.16333735136641578
37,0,0,0.9211515042335767
37,0,1,0.182638841919823
37,0,2,0.14006481806213966
38,0,0,0.9148568932518909
38,0,1,0.18482584926866646
38,0,2,0.15087602994666963
39,0,0,0.8928781483637697
39,0,1,0.16937579580250914
39,0,2,0.17152689099794896
40,0,0,0.892878148363751
40,0,1,0.1693757958024881
40,0,2,0.1715268909979607
41,0,0,0.5249123037699468
41,0,1,0.14333197950177207
41,0,2,0.49294779592310495
42,0,0,0.15694645917614244
42,0,1,0.11728816320105609
42,0,2,0.8143687008482493
43,0,0,0.14862267553534517
43,0,1,0.11358068949254768
43,0,2,0.8171780862195862
44,0,0,0.1402988918945479
44,0,1,0.10987321578403929
44,0,2,0.8199874715909232
45,0,0,0.13513154292227217
45,0,1,0.10310464841453987
45,0,2,0.8187700181150889
46,0,0,0.133298914988192
46,0,1,0.10955940579665895
46,0,2,0.8570244261303507
47,0,0,0.13329891498821475
47,0,1,0.10955940579668087
47,0,2,0.8570244261304079
48,0,0,0.12676867780826412
48,0,1,0.10251584727467615
48,0,2,0.8598249107087073
49,0,0,0.12023844062832445
49,0,1,0.09547228875266921
49,0,2,0.8626253952870198
0,1,0,0.9499700171078188
0,1,1,0.007829556547699767
0,1,2,0.09462430941459812
1,1,0,0.9713791437815893
1,1,1,0.02443223665881661
1,1,2,0.09086000396272016
2,1,0,0.9881168190494077
2,1,1,0.037116674583871315
2,1,2,0.08353582397924895
3,1,0,0.9819265076344248
3,1,1,0.03136698247922047
3,1,2,0.06472450563623135
4,1,0,0.9861673556313816
4,1,1,0.042078131904131406
4,1,2,0.02920751500821
5,1,0,0.9905755884590435
5,1,1,0.05242409642385082
5,1,2,0.024380269767518815
6,1,0,0.9786281455352016
6,1,1,0.05866853362086904
6,1,2,0.024283429543553604
7,1,0,0.9976175437699065
7,1,1,0.08080164612964719
7,1,2,0.05544924713207395
8,1,0,0.9919537312978765
8,1,1,0.0983626826213686
8,1,2,0.02715557901458387
9,1,0,0.9720310985948746
9,1,1,0.09740432527452428
9,1,2,0.02907734795604063
10,1,0,0.9821645974943765
10,1,1,0.12004623574524557
10,1,2,0.0535800060594597
11,1,0,0.9691758468104688
11,1,1,0.12324637428071124
11,1,2,0.05219977312531448
12,1,0,0.9773475729130364
12,1,1,0.14034869846241968
12,1,2,0.05356821655980193
13,1,0,0.9773615387018474
13,1,1,0.1383748177149451
13,1,2,0.041873997589671204
14,1,0,0.9656607697816991
14,1,1,0.17098739737040966
14,1,2,0.030446684844561887
15,1,0,0.9906220716554579
15,1,1,0.18415309873567137
15,1,2,0.05661472765577103
16,1,0,0.9906220716555141
16,1,1,0.1841530987356975
16,1,2,0.056614727655839726
17,1,0,0.9928543284030312
17,1,1,0.18633430239186405
17,1,2,0.06390593594612293
18,1,0,0.984127347999855
18,1,1,0.17927630758253735
18,1,2,0.072196072336963
19,1,0,0.9769582309512134
19,1,1,0.18581253224213232
19,1,2,0.09214127583974406
20,1,0,0.9602908068926156
20,1,1,0.1819276290537912
20,1,2,0.11195661075392455
21,1,0,0.9589774333911999
21,1,1,0.18594746379621419
21,1,2,0.11851338312524991
22,1,0,0.9572426337737213
22,1,1,0.1777557095637521
22,1,2,0.11784733229377257
23,1,0,0.981103773756851
23,1,1,0.15178267758032604
23,1,2,0.10567185235843124
24,1,0,0.9878481597129883
24,1,1,0.14058416596150133
24,1,2,0.10193658272166738
25,1,0,0.989919517540101
25,1,1,0.11468853783303717
25,1,2,0.10816658717420682
26,1,0,0.9878271446743656
26,1,1,0.11803392833544889
26,1,2,0.12879557476136536
27,1,0,0.9963871407916258
27,1,1,0.12948605269309899
27,1,2,0.15148390541870155
28,1,0,0.9767434096446992
28,1,1,0.1535697587745167
28,1,2,0.14622036187920734
29,1,0,0.9969378494504789
29,1,1,0.1658740698131307
29,1,2,0.1487444710123938
30,1,0,0.9808865728617386
30,1,1,0.17956484272085155
30,1,2,0.16580549132190212
31,1,0,0.9817860114232646
31,1,1,0.19319021426560312
31,1,2,0.1759869793687801
32,1,0,0.9720681447870971
32,1,1,0.19983803060862024
32,1,2,0.18054968672068294
33,1,0,0.9720681447870072
33,1,1,0.19983803060859937
33,1,2,0.180549686720698
34,1,0,0.9360471944015876
34,1,1,0.19011243397779032
34,1,2,0.192975320196763
35,1,0,0.9286745902635005
35,1,1,0.18801778652711687
35,1,2,0.18438911773339828
36,1,0,0.9195327737008593
36,1,1,0.18930727630468766
36,1,2,0.16534624348780677
37,1,0,0.9103909571382106
37,1,1,0.19059676608225473
37,1,2,0.1463033692422201
38,1,0,0.9085622822702106
38,1,1,0.1870128566175031
38,1,2,0.16168724183120506
39,1,0,0.8975366174254678
39,1,1,0.17981304330730458
39,1,2,0.16481854681201466
40,1,0,0.892878148363697
40,1,1,0.16937579580252585
40,1,2,0.17152689099798255
41,1,0,0.8539565228478354
41,1,1,0.19781743423052356
41,1,2,0.19345166402035277
42,1,0,0.1569464591769398
42,1,1,0.11728816320114678
42,1,2,0.814368700847517
43,1,0,0.12874161564953787
43,1,1,0.11283441508525589
43,1,2,0.8210959088489358
44,1,0,0.1351315429222684
44,1,1,0.10310464841454567
44,1,2,0.8187700181150904
45,1,0,0.12996419394999645
45,1,1,0.09633608104504043
45,1,2,0.8175525646392547
46,1,0,0.12376407252066066
46,1,1,0.10036313595139258
46,1,2,0.8330909725644912
47,1,0,0.11756395109131351
47,1,1,0.10439019085773378
47,1,2,0.8486293804896994
48,1,0,0.10624639870861576
48,1,1,0.09837244665663035
48,1,2,0.8439861613232438
49,1,0,0.11174955912837178
49,1,1,0.08743379824611754
49,1,2,0.8487301122211408
0,2,0,0.943973923661496
0,2,1,0.00795515103025699
0,2,2,0.06934954900162345
1,2,0,0.9458356431587117
1,2,1,0.009181856361068873
1,2,2,0.065563461939464
2,2,0,0.975952237485072
2,2,1,0.041626341337213844
